ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,on_amf_B0,on_amf_B1,on_amf_B2,on_smf_B0,on_smf_B1,on_smf_B2,on_upf_B0,on_upf_B1,on_upf_B2,gnd_amf_B0,gnd_amf_B1,gnd_amf_B2,gnd_smf_B0,gnd_smf_B1,gnd_smf_B2,gnd_upf_B0,gnd_upf_B1,gnd_upf_B2,B_isl,B_gnd,Q_isl,Q_gnd,gamma_isl,gamma_gnd,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
1,2026-05-16T23:38:56.820017+00:00,browsing,GND,15.639,40.6,40.6,0.5,0.5,20.964,46.308,0.6884,0.3116,0,0.3333,0.3333,0.3333,0.069,0.0686,-0.02806,-0.13104,1,0.3333,0.3333,0.3333,0.176,0.0857,-0.01538,-0.05535,1,0.3333,0.3333,0.3333,0.344,0.0607,0.00937,0.04523,0.589,46.898,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0003,1.0,0.9999,1.0002,1.0002,0.9999,1.0002,0.9999,0.9999,0.05,0.05,0.0,0.0,0.0,0.2,23.13,25.344,0.0,23.768,25.344,0.0,23.768
2,2026-05-16T23:39:02.822382+00:00,browsing,GND,43.853,43.817,43.817,0.501,0.499,49.38,49.571,0.501,0.499,0,0.3882,0.3204,0.2914,0.24,0.0799,-0.01103,-0.04947,1,0.3777,0.3316,0.2907,0.331,0.0853,8e-05,0.0003,1,0.3563,0.3465,0.2972,0.24,0.0631,-0.00101,-0.005,0.81,50.382,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3882,0.3204,0.2914,0.3777,0.3316,0.2907,0.3563,0.3465,0.2972,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0004,1.0,0.9997,1.0003,1.0002,0.9998,1.0003,0.9999,0.9999,0.0559,0.0524,0.0,0.1476,0.0,0.2,50.455,0.192,0.0,0.0,25.536,0.0,23.768
3,2026-05-16T23:39:08.828060+00:00,browsing,GND,11.526,22.432,22.432,0.501,0.499,17.222,28.224,0.621,0.379,1,0.4359,0.3088,0.2553,0.2,0.0907,-0.01503,-0.04713,1,0.4258,0.3218,0.2524,0.39,0.0828,0.00603,0.02089,2,0.3752,0.3636,0.2612,0.196,0.072,-0.00545,-0.01795,0.786,29.01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.4359,0.3088,0.2553,0.4258,0.3218,0.2524,0.3752,0.3636,0.2612,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0006,1.0002,0.9996,1.0005,1.0001,0.9997,1.0005,1.0,0.9999,0.06062,0.05432,0.0,0.29328,0.0,0.2,19.388,11.002,0.0,9.622,36.538,0.0,33.39
4,2026-05-16T23:39:14.895097+00:00,browsing,GND,11.89,22.128,22.128,0.5019,0.4981,17.729,27.952,0.6119,0.3881,1,0.4823,0.2972,0.2205,0.258,0.0874,-0.00924,-0.0287,1,0.4757,0.3072,0.2172,0.254,0.079,-0.00763,-0.02706,1,0.3909,0.3789,0.2302,0.243,0.069,-0.00073,-0.00363,0.754,28.706,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.4823,0.2972,0.2205,0.4757,0.3072,0.2172,0.3909,0.3789,0.2302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0007,1.0003,0.9994,1.0006,1.0002,0.9996,1.0006,1.0,0.9998,0.0644,0.05586,0.0,0.43742,0.0,0.2,19.894,10.222,0.0,8.811,46.76,0.0,42.202
7,2026-05-16T23:39:32.922580+00:00,browsing,GND,27.149,23.316,23.316,0.5031,0.4969,33.284,29.202,0.4673,0.5327,2,0.5292,0.2821,0.1888,0.828,0.0776,0.04785,0.09945,0,0.5228,0.2934,0.1839,0.546,0.0841,0.02156,0.11402,1,0.407,0.3929,0.2001,0.071,0.0716,-0.0179,-0.0926,1.445,30.647,0.3865,0.3196,0.2939,0.3735,0.3301,0.2964,0.3633,0.3005,0.3362,0.5292,0.2821,0.1888,0.5228,0.2934,0.1839,0.407,0.3929,0.2001,1.0005,0.9998,0.9994,1.0003,1.0003,0.9999,1.0061,1.0054,1.0064,1.0008,1.0003,0.999,1.0004,1.0002,0.9995,1.0008,1.0002,0.9998,0.07177,0.05885,0.3584,0.46342,0.0,0.2,30.087,0.0,0.561,0.561,54.578,0.561,51.379
8,2026-05-16T23:39:38.922200+00:00,browsing,GND,15.753,29.014,29.014,0.5031,0.4969,21.953,34.913,0.614,0.386,1,0.5774,0.2641,0.1585,0.104,0.0776,-0.02461,-0.0784,1,0.5695,0.2762,0.1543,0.256,0.071,-0.00745,-0.02641,0,0.4209,0.4063,0.1728,0.148,0.0433,-0.01018,-0.09335,0.508,35.421,0.3865,0.3196,0.2939,0.3735,0.3301,0.2964,0.3633,0.3005,0.3362,0.5774,0.2641,0.1585,0.5695,0.2762,0.1543,0.4209,0.4063,0.1728,1.0005,0.9998,0.9994,1.0003,1.0003,0.9999,1.0061,1.0054,1.0064,1.0009,1.0005,0.9989,1.0006,1.0003,0.9994,1.0009,1.0002,0.9997,0.07331,0.05948,0.28509,0.60393,0.0,0.2,24.118,12.961,0.0,11.303,67.539,0.561,62.682
10,2026-05-16T23:39:50.937697+00:00,browsing,GND,12.196,21.639,21.639,0.5041,0.4959,18.491,27.558,0.5984,0.4016,2,0.6185,0.2488,0.1326,0.649,0.0545,0.02987,0.06321,1,0.6134,0.2585,0.1281,0.402,0.0665,0.00723,0.025,0,0.4333,0.4182,0.1485,0.072,0.0446,-0.0178,-0.16947,1.123,28.681,0.4166,0.31,0.2735,0.3941,0.3246,0.2813,0.382,0.2875,0.3306,0.6185,0.2488,0.1326,0.6134,0.2585,0.1281,0.4333,0.4182,0.1485,1.0009,0.9998,0.9991,1.0004,1.0003,1.0002,1.01,1.0097,1.0097,1.001,1.0006,0.9986,1.0008,1.0002,0.9993,1.0011,1.0002,0.9997,0.07554,0.06039,0.385,0.68356,0.0,0.2,20.656,9.067,0.239,8.025,78.876,0.8,72.866
11,2026-05-16T23:39:56.943611+00:00,browsing,GND,22.149,25.281,25.281,0.5051,0.4949,28.479,31.208,0.5229,0.4771,0,0.6615,0.2285,0.1099,0.11,0.1362,-0.02401,-0.11112,0,0.6576,0.2365,0.1059,0.414,0.1058,0.00844,0.04619,1,0.4441,0.4287,0.1272,0.085,0.0781,-0.01649,-0.08503,0.609,31.817,0.4166,0.31,0.2735,0.3941,0.3246,0.2813,0.382,0.2875,0.3306,0.6615,0.2285,0.1099,0.6576,0.2365,0.1059,0.4441,0.4287,0.1272,1.0009,0.9998,0.9991,1.0004,1.0003,1.0002,1.01,1.0097,1.0097,1.0013,1.0006,0.9985,1.0007,1.0003,0.9992,1.0012,1.0004,0.9996,0.07633,0.06071,0.30866,0.82285,0.0,0.2,30.644,2.729,0.0,1.173,81.605,0.8,74.039
12,2026-05-16T23:40:02.952550+00:00,browsing,GND,28.879,25.724,25.724,0.5054,0.4946,35.237,31.656,0.4732,0.5268,0,0.7072,0.2037,0.0891,0.256,0.1457,-0.00938,-0.04198,0,0.6969,0.2167,0.0865,0.088,0.1121,-0.02421,-0.14586,0,0.4536,0.4379,0.1085,0.138,0.0467,-0.01115,-0.10282,0.483,32.138,0.4166,0.31,0.2735,0.3941,0.3246,0.2813,0.382,0.2875,0.3306,0.7072,0.2037,0.0891,0.6969,0.2167,0.0865,0.4536,0.4379,0.1085,1.0009,0.9998,0.9991,1.0004,1.0003,1.0002,1.01,1.0097,1.0097,1.0014,1.0006,0.9984,1.001,1.0003,0.9991,1.0014,1.0005,0.9995,0.07697,0.06097,0.2317,0.96188,0.0,0.2,32.54,0.0,0.0,0.0,81.605,0.8,74.039
16,2026-05-16T23:40:26.963781+00:00,browsing,GND,42.566,29.051,29.051,0.5079,0.4921,48.99,34.996,0.4167,0.5833,2,0.7424,0.1842,0.0733,0.259,0.0301,-0.00907,-0.02002,0,0.7329,0.197,0.0701,0.2,0.1179,-0.01301,-0.07575,1,0.4619,0.4459,0.0923,0.055,0.0812,-0.01955,-0.10166,0.514,35.51,0.5024,0.2819,0.2157,0.4592,0.3071,0.2337,0.437,0.2277,0.3352,0.7424,0.1842,0.0733,0.7329,0.197,0.0701,0.4619,0.4459,0.0923,1.0019,1.0001,0.9983,1.0007,1.0002,1.0002,1.0217,1.0182,1.0225,1.0015,1.0006,0.9985,1.0011,1.0003,0.9991,1.0015,1.0007,0.9995,0.07846,0.06158,0.66968,0.91631,0.0,0.2,35.881,0.0,0.0,0.0,81.605,0.8,74.039
18,2026-05-16T23:40:38.963485+00:00,browsing,GND,12.356,22.573,22.573,0.508,0.492,18.797,28.521,0.6028,0.3972,0,0.7745,0.1652,0.0604,0.267,0.1596,-0.0083,-0.03705,0,0.7656,0.178,0.0564,0.121,0.1232,-0.02092,-0.12478,1,0.469,0.4527,0.0783,0.079,0.0825,-0.01705,-0.0881,0.467,28.989,0.5361,0.2611,0.2029,0.4759,0.3039,0.2202,0.4613,0.2128,0.3259,0.7745,0.1652,0.0604,0.7656,0.178,0.0564,0.469,0.4527,0.0783,1.002,0.9984,0.9981,1.0005,1.0002,1.0001,1.0255,1.0211,1.0251,1.0016,1.0006,0.9984,1.0013,1.0004,0.999,1.0017,1.0009,0.9994,0.07884,0.06173,0.76218,0.99292,0.0,0.2,20.962,9.724,0.0,8.026,91.329,3.545,84.811
19,2026-05-16T23:40:44.968730+00:00,browsing,GND,11.688,21.539,21.539,0.5091,0.4909,18.135,27.489,0.6025,0.3975,1,0.803,0.1479,0.0492,0.141,0.0435,-0.02087,-0.06612,0,0.795,0.1598,0.0452,0.101,0.1279,-0.02289,-0.13741,0,0.4751,0.4586,0.0662,0.054,0.049,-0.01959,-0.18847,0.296,27.786,0.5361,0.2611,0.2029,0.4759,0.3039,0.2202,0.4613,0.2128,0.3259,0.803,0.1479,0.0492,0.795,0.1598,0.0452,0.4751,0.4586,0.0662,1.002,0.9984,0.9981,1.0005,1.0002,1.0001,1.0255,1.0211,1.0251,1.0017,1.0008,0.9983,1.0016,1.0004,0.9989,1.0019,1.0009,0.9994,0.07897,0.06178,0.68321,1.13114,0.0,0.2,20.3,9.354,0.0,7.485,100.683,3.545,92.297
20,2026-05-16T23:40:50.979156+00:00,browsing,GND,20.513,25.744,25.744,0.5102,0.4898,26.965,31.695,0.5403,0.4597,0,0.8269,0.1335,0.0396,0.097,0.1704,-0.0253,-0.11754,0,0.8212,0.1428,0.036,0.11,0.1322,-0.02196,-0.13147,0,0.4804,0.4637,0.056,0.056,0.0495,-0.01939,-0.1864,0.263,31.959,0.5361,0.2611,0.2029,0.4759,0.3039,0.2202,0.4613,0.2128,0.3259,0.8269,0.1335,0.0396,0.8212,0.1428,0.036,0.4804,0.4637,0.056,1.002,0.9984,0.9981,1.0005,1.0002,1.0001,1.0255,1.0211,1.0251,1.002,1.0008,0.9981,1.0019,1.0004,0.9988,1.0021,1.0009,0.9993,0.07907,0.06183,0.60413,1.26931,0.0,0.2,29.13,4.73,0.0,2.828,105.413,3.545,95.125
21,2026-05-16T23:40:56.985586+00:00,browsing,GND,16.196,28.838,28.838,0.5107,0.4893,22.652,34.79,0.6057,0.3943,0,0.8544,0.1147,0.0309,0.283,0.1761,-0.00667,-0.02968,0,0.8444,0.127,0.0285,0.132,0.136,-0.0198,-0.11781,0,0.4848,0.468,0.0472,0.201,0.05,-0.00495,-0.04436,0.616,35.405,0.5361,0.2611,0.2029,0.4759,0.3039,0.2202,0.4613,0.2128,0.3259,0.8544,0.1147,0.0309,0.8444,0.127,0.0285,0.4848,0.468,0.0472,1.002,0.9984,0.9981,1.0005,1.0002,1.0001,1.0255,1.0211,1.0251,1.002,1.0009,0.998,1.0021,1.0005,0.9987,1.0022,1.001,0.9992,0.07916,0.06186,0.52497,1.40745,0.0,0.2,24.817,12.138,0.0,10.589,117.551,3.545,105.714
